Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
138.0,0.3982279028413069,11.497382503179873,0.0118763357561111,7.993843296780899,0.002204674177799,0.0717190321574649,11010807.0,3.0,0.519999999999996,132.02,94.66065354728964,3.295,156.3373333,0.0854875594233626,0.25,0.5,-0.25,27.8,61.6,57.5,24.0,2.0,无香,悲伤
213.0,0.1301585918639747,9.148475587348658,0.0024801229076541,5.898812377019606,90.7212209915394,0.7832117274365223,11020808.0,1.0,0.0,0.0,0.0,3.196111111,150.095,0.648480781643155,-1.5,-0.67,-1.0,27.8,61.6,57.5,24.0,2.0,0,悲伤
59.0,0.4100474033048897,11.521411407018183,0.0092302895105444,7.737242641151699,0.0034833888321047,0.1977976069683362,11020808.0,2.0,0.0,48.49391304347826,57.97015639546074,3.311904762,72.77095238,0.3146095974717749,-0.75,0.5,-0.5,27.8,61.6,57.5,24.0,2.0,0,焦虑
187.0,0.3932401485549386,11.269419769343475,0.0043554732698232,6.069452960789159,0.0014202126265583,0.1802721368006916,11020808.0,3.0,0.1099999999999568,175.32272727272726,124.66791575956788,3.332857143,161.9454286,0.3159023243869241,-1.0,-1.0,0.5,27.8,61.6,57.5,24.0,2.0,柠檬,无聊
1502.0,0.1301809986484632,9.148695596915148,0.0014808058824606,4.706512431235942,102.32530142396864,0.8418968638870364,11030807.0,1.0,0.0,0.0,0.0,3.264705882,153.345,0.6533962800464383,-0.5,-0.33,-1.75,27.8,61.6,57.5,24.0,2.0,0,悲伤
73.0,0.4059878274599017,11.42488866767472,0.0113486139453606,6.333244861352468,0.0013341553923002,0.1127237496520844,11030807.0,2.0,0.5499999999999972,74.87037037037037,70.01224154767145,4.188421053,97.94947368,0.218313143608465,0.0,0.25,-1.5,27.8,61.6,57.5,24.0,2.0,0,悲伤
3100.0,0.396941970819647,10.495727858174028,0.0014840961615393,5.352972673209466,0.0003889497363421,0.4083473269875202,11030807.0,3.0,0.079999999999984,250.33489361702124,73.61577860099855,3.0928125,162.124375,0.6534006560722654,-0.75,-0.5,0.5,27.8,61.6,57.5,24.0,2.0,薰衣草,藐视
15004.0,0.2223946813654714,9.14870059773252,0.0059472798527766,6.503317819748494,89.84840264959742,0.733273033036289,11040808.0,1.0,0.0,0.0,0.0,3.53862069,143.2062069,0.6253023961710655,-1.5,-0.67,-1.5,27.8,61.6,57.5,24.0,2.0,0,无聊
7740.0,48.75827303684161,11.344385137244029,0.0215759786596562,7.606425390917769,0.1668094840651998,0.2391024167599657,11040808.0,2.0,0.0999999999999943,65.6248,69.54044682743994,3.565263158,63.56263158,0.3671260517191623,-1.25,0.0,-1.5,27.8,61.6,57.5,24.0,2.0,0,悲伤
15016.0,49.32299825996162,12.055740065174378,0.0123815977196955,6.9390453275728525,0.1667964276799159,0.2041222361551022,11040808.0,3.0,0.5600000000000023,95.6695238095238,101.34900147398218,3.337333333,147.537,0.2471518652741207,-0.5,-0.25,1.0,27.8,61.6,57.5,24.0,2.0,薄荷,依赖
6271.0,0.1302069004754605,9.148902594325891,0.0014888809177662,2.031770797873335,114.0217054250917,0.9152866639960822,12010810.0,1.0,0.0,0.0,0.0,3.212,154.3337143,0.6938037746966985,0.5,0.33,-0.5,66.2,44.5,36.9,21.0,2.0,0,悲伤
153.0,0.3888154321555655,11.027671307929852,0.0109142636900338,4.020880974971479,0.0002420082448109,0.068546188098109,12010810.0,2.0,0.039999999999992,102.35842105263156,59.10018614835391,3.7975,89.348,0.1407913322881994,1.25,1.0,0.5,66.2,44.5,36.9,21.0,2.0,0,惊奇
3686.0,0.4097112237543535,10.4296895505445,0.0014844081976536,3.67716094246932,6.542226746926997e-05,0.2563889682305325,12010810.0,3.0,0.0,211.9233962264151,116.29918171556896,3.131764706,153.4664706,0.4313803610207188,0.0,-0.75,0.0,66.2,44.5,36.9,21.0,2.0,无香,无聊
15069.0,0.2154376131912562,9.14894828280264,0.0014809833444957,2.73489743356018,97.18120024956607,1.116757353271969,12020810.0,1.0,0.0,0.0,0.0,3.151388889,155.5688889,0.6958945921832251,1.75,1.0,1.0,66.2,44.5,36.9,21.0,2.0,0,乐观
